"date","actual","point","q05_xgb","q95_xgb","conformal_lo","conformal_hi"
2023-09-29,97805.2590348672,97698.7755818679,93635.6301147028,107891.336217513,92124.8699193438,103272.681244392
2023-09-30,95112.1545477846,95944.7823480579,92878.1522661862,106159.174758555,90370.8766855338,101518.688010582
2023-10-01,97857.8155563958,97011.809430219,93050.5933656228,105385.379449489,91437.9037676949,102585.715092743
2023-10-02,103211.959059603,101914.319335153,95149.3851555117,107517.04068555,96340.413672629,107488.224997677
2023-10-03,104732.290536871,105046.722794207,98964.375902938,110455.617431588,99472.8171316834,110620.628456732
2023-10-04,103229.415022215,104740.514946281,98478.1919317404,109999.807822272,99166.6092837566,110314.420608805
2023-10-05,101728.797541276,103442.176874685,100008.505498911,109999.807822272,97868.2712121606,109016.082537209
2023-10-06,99014.3720427753,99781.2910531537,96521.3170886565,107646.41786495,94207.3853906296,105355.196715678
2023-10-07,96576.8295350795,97151.6131914591,93628.1293118123,106776.006422329,91577.7075289349,102725.518853983
2023-10-08,98537.345536302,97689.8313097081,94240.3416138558,106389.142105118,92115.925647184,103263.736972232
2023-10-09,101624.245046279,102121.455619814,95718.219219786,107263.56039853,96547.5499572898,107695.361282338
2023-10-10,100719.812537407,102471.690537094,98210.6107007539,107662.94748691,96897.7848745701,108045.596199618
2023-10-11,98499.4230580663,100443.315661604,96676.5474685842,107656.581741934,94869.4099990802,106017.221324128
2023-10-12,92797.1830333095,98540.4786425934,94493.5009493372,107656.581741934,92966.5729800693,104114.384305118
2023-10-13,93306.016534745,92946.2039072505,89549.017658047,100041.224988459,87372.2982447264,98520.1095697746
2023-10-14,95810.0945332919,95255.2497344286,92634.6210973916,100088.558401922,89681.3440719045,100829.155396953
2023-10-15,100255.363536826,97133.1772024738,93377.6445959884,103299.034605978,91559.2715399497,102707.082864998
2023-10-16,102857.598043814,101404.939158057,97418.631781191,105831.15153953,95831.0334955327,106978.844820581
2023-10-17,103124.552550177,104488.298968908,100977.617968548,109583.495547279,98914.3933063836,110062.204631432
2023-10-18,104263.446050828,104676.904790093,99586.6889358873,109577.016247863,99102.9991275688,110250.810452617
2023-10-19,107407.438538495,105701.435884523,98508.4378739987,110924.634399975,100127.530221999,111275.341547047
2023-10-20,103583.987038836,104711.051749637,102056.516103485,111233.007996008,99137.1460871129,110284.957412161
2023-10-21,99271.9860282896,102394.418757668,98309.5674776669,110937.541156084,96820.5130951438,107968.324420192
2023-10-22,103822.193556129,102041.236495189,95184.2366483724,108647.2600923,96467.3308326649,107615.142157713
2023-10-23,106315.109539095,106781.301739036,100165.52296798,111503.631094926,101207.396076512,112355.20740156
2023-10-24,107479.826035228,107647.752460732,104025.065267314,111243.510512429,102073.846798208,113221.658123256
2023-10-25,109709.252043854,107412.196288012,104321.421046735,111190.689722312,101838.290625488,112986.101950537
2023-10-26,111118.808537084,109009.167210414,104192.363423024,111660.80461933,103435.26154789,114583.072872938
2023-10-27,104688.720523941,107282.07747424,103512.440310895,112596.052322854,101708.171811715,112855.983136764
2023-10-28,102854.475030745,102249.508350143,98192.4419747339,110937.541156084,96675.6026876185,107823.414012667
2023-10-29,110731.772508463,106303.036115927,99332.1040908315,110532.858381302,100729.130453403,111876.941778451
2023-10-30,106865.922033075,111353.793724222,105227.40473264,112180.291233376,105779.888061698,116927.699386746
2023-10-31,102822.613538051,107373.994005043,103854.668166988,110532.858381302,101800.088342519,112947.899667567
2023-11-01,110960.849039932,107107.979653465,100555.645670186,109276.464171823,101534.073990941,112681.885315989
2023-11-02,112187.108045331,111029.836462351,106484.152510911,112007.110291684,105455.930799827,116603.742124875
2023-11-03,115409.913034647,111474.497987254,108302.56268114,115188.412152773,105900.59232473,117048.403649778
2023-11-04,113299.461541603,110969.814616965,107333.348592601,116841.143456567,105395.908954441,116543.720279489
2023-11-05,114050.324524746,115648.294335735,109630.429650725,115287.322459902,110074.388673211,121222.199998259
2023-11-06,113940.736540513,115918.382878493,110366.325528367,116612.380377913,110344.477215969,121492.288541017
2023-11-07,118821.520019484,117404.659064412,111259.106987419,117057.069953323,111830.753401888,122978.564726936
2023-11-08,117532.20954817,118993.825624528,112752.292475611,122619.128107039,113419.919962004,124567.731287052
2023-11-09,115787.175021896,116106.136993732,114045.603862077,121887.406713675,110532.231331208,121680.042656257
2023-11-10,117128.273038118,114311.513396676,110072.845901233,117783.941979141,108737.607734152,119885.4190592
2023-11-11,116922.643019636,115961.947501895,110874.502727493,121950.774984565,110388.04183937,121535.853164419
2023-11-12,114036.807533131,116346.111620973,110950.026168575,122117.433617033,110772.205958449,121920.017283497
2023-11-13,110559.962518335,114266.49827922,110745.787251055,116401.936507277,108692.592616696,119840.403941744
2023-11-14,110248.92002349,112556.113706633,105390.404783471,115450.159668105,106982.208044109,118130.019369157
2023-11-15,109702.188034326,110320.23369166,106378.286273582,115163.25852043,104746.328029136,115894.139354184
2023-11-16,113242.347036768,110243.772147708,106130.931933325,114183.708062193,104669.866485184,115817.677810232
2023-11-17,107739.531530027,113211.733568728,109507.231316479,116985.422042648,107637.827906204,118785.639231253
2023-11-18,106335.221536805,108134.543008135,105060.047754175,114323.178801016,102560.637345611,113708.448670659
2023-11-19,110941.51204447,108485.016560028,105016.272088681,113164.453426678,102911.110897504,114058.922222552
2023-11-20,119388.28302447,115617.196240819,107043.135891918,114456.270411235,110043.290578295,121191.101903343
2023-11-21,123670.009040325,121195.645850596,112802.7352877,124389.032318153,115621.740188072,126769.55151312
2023-11-22,124675.76103277,125518.241915769,116077.351180107,124953.19568969,119944.336253245,131092.147578293
2023-11-23,122007.035024071,127947.632693366,121663.846437338,128348.73406942,122373.727030842,133521.53835589
2023-11-24,122035.017534095,120551.835739191,114713.619222017,126964.520620396,114977.930076667,126125.741401715
2023-11-25,121228.827029068,121804.089800932,115529.350732687,127092.813091105,116230.184138408,127377.995463456
2023-11-26,125549.781529882,125285.274060027,116876.583363908,127451.603827352,119711.368397503,130859.179722551
2023-11-27,135177.873546902,129880.506182829,122822.420642194,131146.463459347,124306.600520305,135454.411845354
