"user_id","tipo_anomalia","total_records","n_negativos","kWh_negativos_abs","n_extremos_horarios","kWh_extremos_horarios","n_dias_negativos","kWh_dias_negativos_abs","n_dias_extremos","kWh_dias_extremos","kWh_afectado_horario","pct_kWh_usuario_afectado","pct_kWh_global_afectado"
"060c49ee33cc3bb0266b15598ac33781928bdd90540a210a9208f748a195bea5","extremos diarios",26232,0,0,0,0,0,0,61,14663.559,0,0,0
"47d94a912049a972e9b1d73e61ecd9fefa458ab56b255fa5b451bc81d0be5d32","extremos diarios",9000,0,0,0,0,0,0,164,40369.732,0,0,0
"c7cd86e086c58e3da5592b9aed9ca40170502b9f2a7ed6b49f4420bf1ca343d6","extremos diarios",34752,0,0,0,0,0,0,1,211.919,0,0,0
"0a924c1b67e2bfa39d8c8207a434dc9bd1af0566ae7b41b7df1d0459cd58ce10","extremos diarios",19512,0,0,0,0,0,0,1,212.998,0,0,0
"89937e93758dc933359b47b4daedab3cace1081ad8ec941f4472f585baa2366a","extremos diarios",34680,0,0,0,0,0,0,1,256.606,0,0,0
"0e9667f746df95e76a5e0c810fd9290eeb7a33a11b206c7de34cfda1c1c69fcc","extremos diarios",1966,0,0,0,0,0,0,41,10170.5,0,0,0
"6d8e5bb26f66590f664183a9eb5d6ba3622f8dd63bfd955ef30fd58590c75e50","extremos diarios",34752,0,0,0,0,0,0,103,24446.373,0,0,0
"a29eb6ad4e4b91f3e7d89ca267d87f2af4954a6711e2ee603d3bac4e0648c15a","extremos diarios",58321,0,0,0,0,0,0,1,212.422,0,0,0
"4c03c9ff7b43e7259a469ff35ada4f136da72422c937e2988418ae14a4e91757","extremos diarios",32305,0,0,0,0,0,0,34,7431.646,0,0,0
"692653a10e9a9cafdcf62ac01d536d75f218e6ad0e33bdf30d59eca430e01f02","extremos diarios",34728,0,0,0,0,0,0,1,206.922,0,0,0
"6c0363a26289706ab6d69ddc27e6902235cd52236b3a04d39582fbbf52170253","extremos diarios",34752,0,0,0,0,0,0,96,23343.964,0,0,0
"8f46dfe8db07739ab5465a57bb50c23b5a5800399200e52dda82810fd67002a2","extremos diarios",31105,0,0,0,0,0,0,1,202.401,0,0,0
"0bae57421d44ea60d07b90084fec42e6941d5653944af3da8e9e56ea4771ad63","extremos diarios",16128,0,0,0,0,0,0,659,202527.0981,0,0,0
"80b360c283b90fd328b2375c9cd97e7bfce895912132242ba2aaf2155e1e7d60","extremos diarios",24433,0,0,0,0,0,0,53,11909.491,0,0,0
"6504d15670002fc99fbab431b0705575e7ccccb3a6bbf4bea8b4f0e83b2a54a0","extremos diarios",32737,0,0,0,0,0,0,1225,277958.034,0,0,0
"fc57d47185bbc3d927ae0c108c3024ee0e06282f48fa12357cc7233a5dea938b","extremos diarios",26064,0,0,0,0,0,0,3,649.184,0,0,0
"1a5c0c2b46e6b503cf9f192c4410d8e495c4ccb812e57b4a4c269a2d0d2a4d2a","extremos diarios",11737,0,0,0,0,0,0,192,48470.8563,0,0,0
"98f53d777261ce983b7756b790545c2903aa5dcd20025100c8f1d71917a7c55e","extremos diarios",53839,0,0,0,0,0,0,1585,1971327.3428,0,0,0
"ab962378562eb01dbeaf15f65c4f1e855cef3bcf32b681550fc1f9f4e3d8ea42","extremos diarios",28537,0,0,0,0,0,0,502,145708.92,0,0,0
"31e72ca5717516e342c44a70359141207f2297ae5bc96e210488424a8b75adee","extremos diarios",51312,0,0,0,0,0,0,3,1810.225,0,0,0
"618cde3f8f63b0f2d77b8b49f96997a7c964ab3fe9e056448ecbad8c90d62f06","extremos diarios",34752,0,0,0,0,0,0,329,96400.352,0,0,0
"6777d3dcff042f50933e8bd6e7d28a6ca040276238050ca29c5a4b3711f6218b","extremos diarios",47065,0,0,0,0,0,0,1,274.849,0,0,0
"e0da343562a34f4a4588462b78831e5ad317a06caf3da166fbcb3bc77a88e6d5","extremos diarios",34752,0,0,0,0,0,0,8,1756.488,0,0,0
"81432fbd5ddc6b25726742ab0aaeeded9ca5181964e0005aa2256e18e564278a","extremos diarios",27312,0,0,0,0,0,0,670,301080.766,0,0,0
"3353bb8dad9169afd3d90e71cd126b7d55b48a80d43de230103901c22c4b3c88","extremos diarios",34680,0,0,0,0,0,0,1,201.346,0,0,0
"581359db7fb5227c974b1c8f2bb9622482860544f75f2ee29334d3247b477ad3","extremos diarios",34752,0,0,0,0,0,0,1,211.77,0,0,0
"0eae35136dab8eec1d181be356c38d6439d3b7b1d34716157d73fb8fc49964f3","extremos diarios",22849,0,0,0,0,0,0,172,74229.186,0,0,0
