"date","kWh_total","n_users","hdd_mean","cdd_mean","tmed_mean","any_holiday","coverage_ref_n_users","coverage_pct","coverage_ok","terminal_invalid","retained_for_forecast","coverage_rule"
2016-06-11,2.28200000710785,1,0.6,0,14.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-12,2.03400002606213,1,0,0,16.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-13,2.42600001767278,1,0,0,19.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-14,3.28699998185039,1,0,0,17.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-15,2.13300001621246,1,0,0,15.1,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-16,2.47100001759827,1,1.7,0,13.3,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-17,1.85300000756979,1,2,0,13,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-18,1.34599999338388,1,2,0,13,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-19,1.28099999390543,1,0.800000000000001,0,14.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-20,1.53500000573695,1,0,0,16.5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-21,1.65099999308586,1,0,0,20.7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-22,1.47100000828505,1,0,2.4,24.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-23,1.5089999884367,1,0,2.3,24.3,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-24,1.89100001193583,1,0,0,17.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-25,2.21999999694526,1,0,0,15.5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-26,2.28300000354648,1,1.6,0,13.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-27,1.65200002491474,1,0,0,17.1,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
