"cod_provincia","provincia","indicativo","station_name","fecha","climate_row_imputed","climate_any_imputed","n_climate_values_imputed","variables_imputed","tmed","tmax","tmin","prec","hrMedia","sol","velmedia","hdd","cdd"
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-03-24,FALSE,TRUE,1,"prec",7.6,14.4,0.8,0.12728143248446,72,8.5,2.5,7.4,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-05-11,FALSE,TRUE,1,"prec",12.9,18.8,7,2.90642387135007,63,10.5,5,2.1,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-05-14,FALSE,TRUE,1,"prec",13.8,17.1,10.5,0.222742352243389,83,0.7,3.9,1.2,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-06-10,FALSE,TRUE,1,"prec",15.1,19.2,11,0,86,0.1,3.1,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-06-23,FALSE,TRUE,1,"prec",24.3,32.8,15.8,0,55,8.7,1.9,0,2.3
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-07-02,FALSE,TRUE,1,"prec",15.8,20.7,10.9,0.00693239427582371,85,1,3.6,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-07-05,FALSE,TRUE,1,"prec",19.7,22.8,16.6,1.748690055681,82,0.8,4.2,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-07-12,FALSE,TRUE,1,"prec",17.1,20.2,14,0.0111850134522575,75,2,3.9,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-08-17,FALSE,TRUE,1,"prec",24.2,30,18.4,0.0140394464725027,71,5,2.8,0,2.2
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-08-26,FALSE,TRUE,1,"prec",23.6,33,14.3,0,57,8.6,2.8,0,1.6
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-08-28,FALSE,TRUE,1,"prec",20.3,23.4,17.2,0.0222877238664499,77,0.5,5,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-09-07,FALSE,TRUE,1,"prec",24.4,36.6,12.2,0.0243100066718251,61,10.9,3.1,0,2.4
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-10-01,FALSE,TRUE,1,"prec",15,17.4,12.6,1.13209037374018,90,0.2,3.9,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-10-16,FALSE,TRUE,1,"prec",13.3,17.6,9,3.22355720928614,76,0,1.7,1.7,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-10-18,FALSE,TRUE,1,"prec",12.9,18.6,7.2,3.23850090698118,83,6.4,1.7,2.1,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-11-11,FALSE,TRUE,1,"prec",8.4,12.2,4.5,0.748834617239964,83,0,1.7,6.6,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-11-14,FALSE,TRUE,1,"prec",9.1,11.6,6.6,0.557003331667523,77,4,5,5.9,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-11-17,FALSE,TRUE,1,"prec",9.2,15.5,3,4.02476640229535,94,3.5,0,5.8,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-12-07,FALSE,TRUE,1,"prec",6.6,9.9,3.2,0.21332669565311,95,1.6,2.8,8.4,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-12-25,FALSE,TRUE,1,"prec",6.6,9.2,4.1,2.68235948642212,98,0,0,8.4,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2017-01-18,FALSE,TRUE,1,"prec",-1.8,-0.5,-3,0.0554694250022917,88,0,3.3,16.8,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2017-01-22,FALSE,TRUE,1,"prec",2,8.5,-4.6,0,81,4.2,2.8,13,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2017-02-22,FALSE,TRUE,1,"prec",10,17.1,2.9,0.0483561312784614,84,5.5,1.7,5,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2017-02-23,FALSE,TRUE,1,"prec",9.7,17.8,1.6,0.0319150833018746,80,5.6,1.4,5.3,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2017-02-24,FALSE,TRUE,1,"prec",6.2,10.5,2,0.0151548083174478,79,3.2,5,8.8,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2017-03-11,FALSE,TRUE,1,"prec",13.8,24.2,3.4,3.99151208368639,66,6.6,3.9,1.2,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2017-04-29,FALSE,TRUE,1,"prec",8.4,18.8,-2,2.5556859846626,58,8.7,3.1,6.6,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2017-06-15,FALSE,TRUE,1,"prec",18.4,21.4,15.5,0.00119947689634231,82,0.3,4.7,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2017-06-23,FALSE,TRUE,1,"prec",19.3,22,16.6,0,83,0.3,3.3,0,0
